"TimeZone","UTC offset","name"
"Africa/Algiers", "UTC+01:00", "West Central Africa"
"Africa/Cairo", "UTC+02:00", "Cairo"
"Africa/Casablanca", "UTC+01:00", "Casablanca"
"Africa/Harare", "UTC+02:00", "Harare, Pretoria"
"Africa/Monrovia", "UTC+00:00", "Monrovia, Reykjavik"
"Africa/Nairobi", "UTC+03:00", "Nairobi"
"Africa/Tripoli", "UTC+02:00", "Tripoli"
"Africa/Windhoek", "UTC+02:00", "Windhoek"
"America/Anchorage", "UTC-08:00", "Alaska"
"America/Asuncion", "UTC-03:00", "Asuncion"
"America/Bahia", "UTC-03:00", "Salvador"
"America/Belize", "UTC-06:00", "Central America"
"America/Bogota", "UTC-05:00", "Bogota, Lima, Quito"
"America/Buenos_Aires", "UTC-03:00", "Buenos Aires"
"America/Caracas", "UTC-04:30", "Caracas"
"America/Cayenne", "UTC-03:00", "Cayenne, Fortaleza"
"America/Cayman", "UTC-05:00", "EST"
"America/Chicago", "UTC-05:00", "CST"
"America/Chihuahua", "UTC-06:00", "Chihuahua, La Paz, Mazatlan"
"America/Cuiaba", "UTC-04:00", "Cuiaba"
"America/Denver", "UTC-06:00", "MST"
"America/Detroit", "UTC-05:00", "EST"
"America/Godthab", "UTC-02:00", "Greenland"
"America/Halifax", "UTC-03:00", "Atlantic Time Canada"
"America/Indiana/Indianapolis", "UTC-04:00", "EST"
"America/Indiana/Petersburg", "UTC-05:00", "EST"
"America/Indiana/Winamac", "UTC-05:00", "EST"
"America/Jamaica", "UTC-05:00", "Kingston, George Town"
"America/Kentucky/Monticello", "UTC-05:00", "EST"
"America/Los_Angeles", "UTC-07:00", "PST"
"America/Manaus", "UTC-04:00", "Georgetown, La Paz, Manaus, San Juan"
"America/Mexico_City", "UTC-05:00", "Guadalajara, Mexico City, Monterrey"
"America/Montevideo", "UTC-03:00", "Montevideo"
"America/New_York", "UTC-04:00", "EST"
"America/Nassau", "UTC-05:00", "EST"
"America/Noronha", "UTC-02:00", "Mid-Atlantic"
"America/Phoenix", "UTC-07:00", "Arizona"
"America/Port-au-Prince", "UTC-05:00","EST"
"America/Regina", "UTC-06:00", "Saskatchewan"
"America/Rio_Branco", "UTC-05:00", "Rio"
"America/Santiago", "UTC-03:00", "Santiago"
"America/Sao_Paulo", "UTC-03:00", "Brasilia"
"America/St_Johns", "UTC-02:30", "Newfoundland and Labrador"
"America/Tijuana", "UTC-07:00", "Baja California"
"Asia/Almaty", "UTC+06:00", "Astana"
"Asia/Amman", "UTC+03:00", "Amman"
"Asia/Anadyr", "UTC+12:00", "Anadyr, Petropavlovsk-Kamchatsky"
"Asia/Baghdad", "UTC+03:00", "Baghdad"
"Asia/Baku", "UTC+05:00", "Baku"
"Asia/Bangkok", "UTC+07:00", "Bangkok, Hanoi, Jakarta"
"Asia/Beirut", "UTC+03:00", "Beirut"
"Asia/Chongqing", "UTC+08:00", "Beijing, Chongqing, Hong Kong SAR, Urumqi"
"Asia/Colombo", "UTC+05:30", "Sri Jayawardenepura"
"Asia/Damascus", "UTC+03:00", "Damascus"
"Asia/Dhaka", "UTC+06:00", "Dhaka"
"Asia/Irkutsk", "UTC+08:00", "Irkutsk"
"Asia/Istanbul", "UTC+03:00", "Istanbul"
"Asia/Jerusalem", "UTC+03:00", "Jerusalem"
"Asia/Kabul", "UTC+04:30", "Kabul"
"Asia/Karachi", "UTC+05:00", "Islamabad, Karachi"
"Asia/Katmandu", "UTC+05:45", "Kathmandu"
"Asia/Kolkata", "UTC+05:30", "Chennai, Kolkata, Mumbai, New Delhi"
"Asia/Krasnoyarsk", "UTC+07:00", "Krasnoyarsk"
"Asia/Kuala_Lumpur", "UTC+08:00", "Kuala Lumpur, Singapore"
"Asia/Kuwait", "UTC+03:00", "Kuwait, Riyadh"
"Asia/Magadan", "UTC+10:00", "Magadan"
"Asia/Muscat", "UTC+04:00", "Abu Dhabi, Muscat"
"Asia/Novosibirsk", "UTC+06:00", "Novosibirsk"
"Asia/Rangoon", "UTC+06:30", "Yangon Rangoon"
"Asia/Seoul", "UTC+09:00", "Seoul"
"Asia/Srednekolymsk", "UTC+11:00", "Chokirdakh"
"Asia/Taipei", "UTC+08:00", "Taipei"
"Asia/Tashkent", "UTC+05:00", "Tashkent, Ashgabat"
"Asia/Tbilisi", "UTC+04:00", "Tbilisi"
"Asia/Tehran", "UTC+03:30", "Tehran"
"Asia/Tokyo", "UTC+09:00", "Osaka, Sapporo, Tokyo"
"Asia/Ulaanbaatar", "UTC+08:00", "Ulaanbaatar"
"Asia/Vladivostok", "UTC+10:00", "Vladivostok, Magadan"
"Asia/Yakutsk", "UTC+09:00", "Yakutsk"
"Asia/Yekaterinburg", "UTC+05:00", "Ekaterinburg"
"Asia/Yerevan", "UTC+04:00", "Yerevan"
"Atlantic/Azores", "UTC+00:00", "Azores"
"Atlantic/Cape_Verde", "UTC-01:00", "Cape Verde Islands"
"Australia/Adelaide", "UTC+10:30", "Adelaide"
"Australia/Brisbane", "UTC+10:00", "Brisbane"
"Australia/Canberra", "UTC+11:00", "Canberra, Melbourne, Sydney"
"Australia/Darwin", "UTC+09:30", "Darwin"
"Australia/Hobart", "UTC+11:00", "Hobart"
"Australia/Perth", "UTC+08:00", "Perth"
"EET", "UTC+03:00", "Eastern Europe"
"Europe/Amsterdam", "UTC+02:00", "Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
"Europe/Athens", "UTC+03:00", "Athens, Bucharest"
"Europe/Belgrade", "UTC+02:00", "Belgrade, Bratislava, Budapest, Ljubljana, Prague"
"Europe/Brussels", "UTC+02:00", "Brussels, Copenhagen, Madrid, Paris"
"Europe/Helsinki", "UTC+03:00", "Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius"
"Europe/Kaliningrad", "UTC+02:00", "Kaliningrad"
"Europe/London", "UTC+01:00", "Dublin, Edinburgh, Lisbon, London"
"Europe/Minsk", "UTC+03:00", "Minsk"
"Europe/Moscow", "UTC+03:00", "Moscow, St. Petersburg, Volgograd"
"Europe/Samara", "UTC+04:00", "Izhevsk, Samara"
"Europe/Warsaw", "UTC+02:00", "Sarajevo, Skopje, Warsaw, Zagreb"
"Indian/Mauritius", "UTC+04:00", "Port Louis"
"Pacific/Apia", "UTC+14:00", "Samoa"
"Pacific/Auckland", "UTC+13:00", "Auckland, Wellington"
"Pacific/Fiji", "UTC+12:00", "Fiji Islands, Kamchatka, Marshall Islands"
"Pacific/Guadalcanal", "UTC+11:00", "Solomon Islands, New Caledonia"
"Pacific/Guam", "UTC+10:00", "Guam, Port Moresby"
"Pacific/Honolulu", "UTC-10:00", "Hawaii"
"Pacific/Midway", "UTC-11:00", "Midway Island, American Samoa"
"Pacific/Tongatapu", "UTC+13:00", "Nuku'alofa"